Year,Date,Plot,Treatment,Web ,Leafhopper
2022,8/26/2022,A3,Stakes,51-60,0
2022,8/26/2022,A4,Stakes + SS,11-20,3
2022,8/26/2022,A5,Stakes + SS,41-50,0
2022,8/26/2022,A6,SS,91-100,1
2022,8/26/2022,A7,Stakes,41-50,1
2022,8/26/2022,A8,Nothing,31-40,2
2022,8/26/2022,B1,SS,71-80,1
2022,8/26/2022,B2,SS,51-60,0
2022,8/26/2022,B3,SS,21-30,2
2022,8/26/2022,B4,Nothing,31-40,0
2022,8/26/2022,B5,SS,31-40,0
2022,8/26/2022,B6,Stakes + SS,0-10,2
2022,8/26/2022,B7,Nothing,51-60,3
2022,8/26/2022,B8,Stakes + SS,41-50,0
2022,8/26/2022,C1,Stakes + SS,31-40,1
2022,8/26/2022,C2,Stakes,0-10,1
2022,8/26/2022,C3,SS,21-30,0
2022,8/26/2022,C4,Stakes,21-30,1
2022,8/26/2022,C5,Stakes,41-50,2
2022,8/26/2022,C6,Stakes + SS,31-40,2
2022,8/26/2022,C7,Nothing,21-30,2
2022,8/26/2022,C8,Stakes,61-70,2
2022,8/26/2022,D1,Stakes,31-40,2
2022,8/26/2022,D2,Stakes,31-40,1
2022,8/26/2022,D3,Stakes + SS,51-60,0
2022,8/26/2022,D4,Nothing,91-100,0
2022,8/26/2022,D5,Nothing,91-100,0
2022,8/26/2022,D6,Nothing,91-100,1
2022,8/26/2022,E1,SS,41-50,0
2022,8/26/2022,E2,SS,21-30,0
2022,8/31/2022,A1,Nothing,41-50,1
2022,8/31/2022,A2,Stakes + SS,41-50,0
2022,8/31/2022,A3,Stakes,51-60,0
2022,8/31/2022,A4,Stakes + SS,41-50,2
2022,8/31/2022,A5,Stakes + SS,41-50,0
2022,8/31/2022,A6,SS,31-40,0
2022,8/31/2022,A7,Stakes,41-50,0
2022,8/31/2022,A8,Nothing,41-50,1
2022,8/31/2022,B1,SS,21-30,0
2022,8/31/2022,B2,SS,91-100,0
2022,8/31/2022,B3,SS,41-50,2
2022,8/31/2022,B4,Nothing,N/A,2
2022,8/31/2022,B5,SS,0-10,2
2022,8/31/2022,B6,Stakes + SS,31-40,0
2022,8/31/2022,B7,Nothing,41-50,0
2022,8/31/2022,B8,Stakes + SS,21-30,4
2022,8/31/2022,C1,Stakes + SS,11-20,0
2022,8/31/2022,C2,Stakes,N/A,0
2022,8/31/2022,C3,SS,41-50,1
2022,8/31/2022,C4,Stakes,81-90,0
2022,8/31/2022,C5,Stakes,61-70,0
2022,8/31/2022,C6,Stakes + SS,11-20,2
2022,8/31/2022,C7,Nothing,11-20,0
2022,8/31/2022,C8,Stakes,61-70,5
2022,8/31/2022,D1,Stakes,31-40,0
2022,8/31/2022,D2,Stakes,11-20,2
2022,8/31/2022,D3,Stakes + SS,41-50,1
2022,8/31/2022,D4,Nothing,41-50,0
2022,8/31/2022,D5,Nothing,21-30,0
2022,8/31/2022,D6,Nothing,61-70,0
2022,8/31/2022,E1,SS,21-30,0
2022,8/31/2022,E2,SS,61-70,0
